,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Misc Feature,Sale Type,SalePrice,Exter Qual and Gr Liv Area
497,RL,Pave,0,Lvl,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1064.0,GasA,1166,1639,1,3,6,0,Detchd,1936.0,1,1.0,240.0,0,WD ,115000,4917
498,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,9,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,302.0,5,PConc,5,1736.0,GasA,1736,1736,2,5,7,4,Attchd,2008.0,2,3.0,834.0,0,WD ,360000,8680
499,RL,Pave,0,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,3,Slab,0,0.0,GasA,1535,1535,2,3,8,0,Attchd,1979.0,1,2.0,400.0,0,WD ,118858,4605
500,RL,Pave,0,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,2Story,6,1966,2000,Hip,CompShg,HdBoard,HdBoard,BrkFace,252.0,3,CBlock,3,800.0,GasA,800,1632,1,4,7,0,Attchd,1966.0,1,2.0,484.0,0,WD ,173000,4896
501,RL,Pave,Grvl,Lvl,Corner,OldTown,Norm,Norm,1Fam,1Story,3,1890,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,BrkTil,3,630.0,GasA,725,725,1,3,4,0,Detchd,1959.0,1,1.0,320.0,0,WD ,78500,2175
502,RL,Pave,0,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,840.0,GasA,840,1720,2,4,7,4,Attchd,2004.0,3,2.0,440.0,0,WD ,183500,6880
503,RM,Pave,Pave,Bnk,Inside,OldTown,Norm,Norm,2fmCon,1Story,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,CBlock,2,936.0,GasA,936,936,1,3,4,0,Detchd,1974.0,1,2.0,576.0,0,WD ,93000,1872
504,RL,Pave,0,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,8,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,72.0,4,PConc,4,1406.0,GasA,1589,1589,2,4,7,3,Attchd,2003.0,3,3.0,630.0,0,WD ,226500,6356
505,RL,Pave,0,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,799.0,GasA,799,1571,2,3,7,3,Attchd,1993.0,2,2.0,380.0,0,WD ,178000,6284
506,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,4,PConc,4,1453.0,GasA,1479,1479,2,4,7,0,Attchd,2003.0,2,2.0,558.0,0,WD ,226000,5916
507,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,2Story,5,1969,1969,Gable,CompShg,VinylSd,VinylSd,BrkFace,178.0,4,CBlock,3,784.0,GasA,784,1632,1,3,7,3,Attchd,1969.0,2,2.0,898.0,0,WD ,173000,6528
508,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,864.0,GasA,864,864,1,3,5,1,Detchd,1965.0,1,1.0,360.0,0,WD ,62383,2592
509,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,268.0,5,PConc,5,1452.0,GasA,1476,2713,2,5,11,4,Attchd,2008.0,3,3.0,858.0,0,New,446261,13565
510,RL,Pave,0,Lvl,Inside,SWISU,Feedr,Norm,1Fam,2Story,7,1926,1997,Gable,CompShg,Wd Sdng,Stucco,None,0.0,3,BrkTil,3,624.0,GasA,743,1479,1,4,6,4,Detchd,1926.0,1,1.0,312.0,0,WD ,160000,4437
511,RM,Pave,0,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,24.0,4,PConc,4,1393.0,GasA,1576,1576,2,4,7,3,Attchd,2004.0,2,3.0,668.0,0,WD ,219990,6304
512,RL,Pave,0,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,7,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,125.0,4,PConc,4,1468.0,GasA,1479,1479,2,4,6,0,Attchd,1999.0,2,2.0,577.0,0,WD ,191000,5916
513,RL,Pave,0,Bnk,Inside,BrkSide,Norm,Norm,1Fam,1Story,5,1925,1994,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,PConc,3,756.0,GasA,916,1060,1,3,6,4,Detchd,1969.0,1,1.0,308.0,0,WD ,136500,3180
514,RL,Pave,0,Lvl,CulDSac,Edwards,Norm,Norm,1Fam,1Story,4,1958,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,Slab,0,0.0,GasA,943,943,1,4,5,0,Detchd,1958.0,1,1.0,308.0,0,WD ,80000,2829
515,RL,Pave,0,Lvl,Corner,NWAmes,Norm,Norm,1Fam,1.5Fin,7,1988,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,178.0,4,PConc,4,1204.0,GasA,1377,2183,2,4,9,0,Attchd,1988.0,1,3.0,786.0,0,WD ,229000,8732
516,RL,Pave,0,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,1993,1994,Gable,CompShg,MetalSd,MetalSd,BrkFace,246.0,4,PConc,4,1050.0,GasA,1062,1949,2,4,8,3,Attchd,1993.0,3,2.0,574.0,0,WD ,236000,7796
517,RL,Pave,0,HLS,Inside,Timber,PosA,PosA,1Fam,1Story,10,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,242.0,5,PConc,5,1824.0,GasA,1824,1824,2,5,8,4,Attchd,2006.0,3,3.0,932.0,0,New,392000,9120
518,RM,Pave,0,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,2Story,6,1927,1950,Gable,CompShg,Plywood,Plywood,None,0.0,3,CBlock,3,720.0,GasA,1146,1930,2,3,8,0,Attchd,1927.0,1,1.0,316.0,0,WD ,149000,5790
519,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,10,1998,1999,Gable,CompShg,BrkFace,MetalSd,None,0.0,5,PConc,4,970.0,GasA,1469,2393,2,5,7,3,Attchd,1998.0,3,2.0,846.0,0,WD ,345000,11965
520,RM,Pave,Grvl,Lvl,Corner,OldTown,Norm,Norm,1Fam,2Story,5,1900,2005,Hip,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,2,716.0,GasA,1007,2014,2,3,8,0,Detchd,1900.0,1,2.0,624.0,0,WD ,169000,8056
521,RL,Pave,0,Lvl,Inside,Edwards,Feedr,Norm,1Fam,1Story,4,1946,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,484.0,GasA,1242,1242,1,3,4,0,Attchd,1946.0,1,1.0,336.0,0,WD ,109900,3726
522,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,2Story,7,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,94.0,3,PConc,4,996.0,GasA,996,2000,2,3,9,3,Attchd,1993.0,3,3.0,650.0,0,WD ,188000,6000
523,RM,Pave,0,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,780.0,GasA,825,1412,1,3,6,4,Detchd,1939.0,1,1.0,280.0,0,WD ,132500,4236
524,RL,Pave,0,Low,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,990.0,GasA,990,990,1,3,5,0,Attchd,1995.0,2,1.0,440.0,0,WD ,143000,2970
525,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,1951,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,2,1342.0,GasA,1342,1342,1,3,7,0,Detchd,1951.0,1,1.0,256.0,0,WD ,125000,4026
526,RL,Pave,0,HLS,Corner,NridgHt,Norm,Norm,1Fam,1Story,9,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,568.0,5,PConc,5,1868.0,GasA,1868,1868,2,5,7,4,Attchd,2005.0,3,3.0,1085.0,0,WD ,415000,9340
527,RM,Pave,0,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,2,622.0,GasA,741,1363,1,3,6,0,Detchd,1966.0,1,2.0,528.0,0,WD ,125500,4089
528,RL,Pave,0,Lvl,Inside,NAmes,Feedr,Norm,1Fam,1Story,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,3,CBlock,3,1240.0,GasA,1632,1632,2,3,6,4,Attchd,1958.0,2,1.0,338.0,0,WD ,139000,4896
529,RL,Pave,0,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,10,2008,2008,Gable,CompShg,CemntBd,CmentBd,Stone,420.0,5,PConc,5,1722.0,GasA,1728,2296,2,5,10,4,BuiltIn,2008.0,2,3.0,842.0,0,ConLI,451950,11480
530,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,5,1959,1959,Hip,CompShg,VinylSd,VinylSd,BrkFace,74.0,3,CBlock,3,1678.0,GasA,1678,1678,2,3,10,0,0,1980.0,0,0.0,0.0,0,WD ,119900,5034
531,RL,Pave,0,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,8,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.0,4,PConc,5,1267.0,GasA,1296,1296,2,4,6,0,Attchd,2001.0,3,2.0,471.0,0,WD ,220000,5184
532,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,BrkFace,302.0,3,CBlock,3,1587.0,GasA,1587,1587,2,3,7,4,Attchd,1971.0,1,2.0,525.0,0,WD ,167300,4761
533,RL,Pave,Grvl,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,720.0,GasA,854,1298,1,3,6,4,Detchd,1940.0,1,1.0,256.0,0,WD ,122000,3894
534,RM,Pave,0,Lvl,Inside,Sawyer,RRAe,Norm,Duplex,1Story,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,336.0,3,CBlock,3,1728.0,GasA,1728,1728,2,3,10,0,Detchd,1963.0,1,2.0,504.0,0,ConLI,125000,5184
535,RM,Pave,0,Lvl,Inside,OldTown,Norm,Norm,1Fam,1Story,5,1957,1957,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,CBlock,3,928.0,GasA,928,928,1,3,5,0,Attchd,1957.0,3,1.0,288.0,0,WD ,112500,2784
536,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,879.0,GasA,879,1795,2,4,7,0,Attchd,2005.0,2,2.0,578.0,0,WD ,191000,7180
537,RL,Pave,0,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Hip,CompShg,MetalSd,MetalSd,BrkFace,135.0,3,CBlock,3,1080.0,GasA,1080,1080,1,3,5,0,Attchd,1958.0,1,1.0,288.0,0,WD ,136000,3240
538,RL,Pave,0,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,866.0,GasA,866,1779,2,4,6,0,Attchd,1998.0,2,2.0,546.0,0,WD ,197900,5337
539,RM,Pave,0,Lvl,Corner,OldTown,Feedr,Norm,1Fam,1.5Fin,6,1910,2003,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,485.0,GasA,1001,1635,1,4,5,0,Attchd,1950.0,1,1.0,255.0,0,WD ,117000,4905
540,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,84.0,4,PConc,4,1199.0,GasA,1220,1220,2,4,6,0,Attchd,2006.0,2,2.0,632.0,0,New,194000,4880
541,FV,Pave,0,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,9,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,179.0,4,PConc,5,1310.0,GasA,1310,1310,1,4,5,3,Attchd,2001.0,2,2.0,545.0,0,WD ,285000,5240
542,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,2fmCon,1.5Fin,5,1940,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,644.0,GasA,808,1355,2,3,6,0,0,1980.0,0,0.0,0.0,0,WD ,127500,4065
543,RL,Pave,0,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,7,1992,2000,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,PConc,4,1095.0,GasA,1166,2295,2,4,9,3,Attchd,1992.0,2,2.0,590.0,0,WD ,268000,9180
544,RM,Pave,0,Lvl,Inside,OldTown,Artery,Norm,1Fam,2Story,4,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,PConc,3,1075.0,GasA,1156,1798,2,3,7,0,Detchd,1935.0,1,2.0,342.0,0,WD ,137000,5394
545,RL,Pave,0,Lvl,CulDSac,NWAmes,Norm,Norm,1Fam,1Story,7,1967,1967,Gable,CompShg,Plywood,Plywood,None,0.0,3,CBlock,3,1620.0,GasA,1620,1620,2,4,8,4,Attchd,1967.0,1,2.0,578.0,Shed,WD ,215000,4860
546,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1955,1955,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,1216.0,GasA,1216,1216,1,3,5,0,Attchd,1955.0,2,1.0,336.0,0,WD ,129500,3648
547,RM,Pave,0,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,4,896.0,GasA,896,1344,1,3,7,0,Detchd,1936.0,1,1.0,240.0,0,WD ,115000,4032
548,RL,Pave,0,Lvl,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,5,1925,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,747.0,GasA,747,1159,1,3,5,0,Detchd,1932.0,1,1.0,288.0,0,WD ,114000,3477
549,RH,Pave,0,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,4,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,1056.0,GasA,1056,1056,1,3,5,0,Detchd,1966.0,1,1.0,384.0,0,WD ,107000,3168
550,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1.5Fin,5,1947,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,832.0,GasA,832,1216,1,3,6,0,Detchd,1947.0,1,1.0,336.0,0,COD,118500,3648
551,RM,Pave,0,Lvl,Corner,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1929,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,BrkTil,3,862.0,GasA,950,1158,1,3,5,4,BuiltIn,1929.0,2,1.0,208.0,0,WD ,120000,3474
552,RL,Pave,0,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,148.0,4,PConc,4,1538.0,GasA,1538,1538,2,4,7,0,Attchd,2005.0,2,2.0,484.0,0,WD ,260000,6152
553,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,150.0,3,CBlock,3,1143.0,GasA,1143,1143,1,3,6,0,Attchd,1959.0,2,1.0,308.0,0,WD ,136000,3429
554,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,4,1971,1971,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,858.0,GasA,872,872,1,3,5,0,Detchd,1974.0,1,4.0,480.0,0,WD ,123000,2616
555,RM,Pave,Grvl,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,319.0,GasA,1035,1406,1,2,6,0,0,1980.0,0,0.0,0.0,0,WD ,89500,4218
556,RL,Pave,0,Lvl,Corner,Gilbert,Norm,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1324.0,GasA,1324,1324,2,4,6,0,Attchd,2005.0,3,2.0,430.0,0,WD ,199500,5296
557,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkCmn,41.0,3,PConc,3,876.0,GasA,904,904,1,3,6,0,Attchd,1966.0,1,1.0,408.0,0,WD ,109900,2712
558,RL,Pave,0,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,1926,2004,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,4,BrkTil,4,1276.0,GasA,1276,2080,1,4,9,4,Detchd,1926.0,1,1.0,282.0,0,WD ,234000,8320
559,RM,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,4,PConc,4,848.0,GasA,848,848,1,4,3,4,Attchd,2004.0,2,2.0,420.0,0,WD ,155900,3392
560,RL,Pave,0,Lvl,Inside,ClearCr,Norm,Norm,1Fam,1.5Fin,4,1957,1989,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1104.0,GasA,1104,1788,1,3,8,3,Attchd,1957.0,1,1.0,304.0,0,WD ,161500,5364
561,RL,Pave,0,Lvl,CulDSac,Timber,Norm,Norm,1Fam,SLvl,6,1958,1958,Gable,CompShg,HdBoard,HdBoard,BrkFace,541.0,3,CBlock,3,819.0,GasA,1344,1344,1,4,7,4,Basment,1958.0,2,2.0,525.0,0,COD,137500,4032
562,RM,Pave,0,Lvl,Inside,OldTown,Norm,Norm,2fmCon,2Story,5,1910,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,840.0,Grav,1128,2256,2,2,12,0,0,1980.0,0,0.0,0.0,0,WD ,76500,6768
563,RL,Pave,0,Lvl,Corner,ClearCr,Norm,Norm,1Fam,2Story,6,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,4,PConc,4,1151.0,GasA,1164,2060,2,3,8,3,Attchd,1988.0,1,2.0,521.0,0,WD ,211000,8240
564,RH,Pave,0,Lvl,Inside,NAmes,Norm,Norm,TwnhsE,1Story,6,1998,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,PConc,4,1405.0,GasA,1337,1337,2,4,5,0,Attchd,1998.0,3,2.0,511.0,0,COD,181000,5348
565,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,SLvl,6,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,183.0,3,CBlock,3,1127.0,GasA,1165,1165,1,3,6,0,Attchd,1966.0,2,2.0,490.0,0,WD ,174900,3495
566,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,SLvl,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,BrkFace,97.0,3,CBlock,3,1164.0,GasA,1320,1320,1,3,6,2,Attchd,1966.0,2,2.0,564.0,0,WD ,164500,3960
567,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,4,PConc,4,1517.0,GasA,1535,1535,2,4,7,0,Attchd,2004.0,2,2.0,532.0,0,WD ,214000,6140
568,RL,Pave,0,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,7,1980,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,280.0,3,CBlock,4,738.0,GasA,1277,2044,2,3,7,3,Attchd,1980.0,1,2.0,489.0,0,WD ,185000,6132
569,RM,Pave,0,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,4,1929,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,PConc,3,704.0,GasA,624,1136,1,3,6,0,Detchd,1990.0,1,1.0,336.0,0,WD ,123000,3408
570,RL,Pave,0,Bnk,CulDSac,Mitchel,Norm,Norm,1Fam,SFoyer,6,1979,1979,Gable,CompShg,HdBoard,Wd Shng,None,0.0,3,CBlock,4,1001.0,GasA,1299,1299,2,4,5,1,BuiltIn,1979.0,2,2.0,486.0,0,WD ,183500,3897
571,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,PConc,4,776.0,GasA,764,1441,2,4,5,0,Detchd,1999.0,1,2.0,492.0,0,WD ,174000,5764
572,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,1073.0,GasA,1630,1630,2,3,6,3,Detchd,1953.0,1,2.0,649.0,0,COD,130000,4890
573,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,7,1925,1990,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,728.0,GasA,832,1641,1,5,6,4,Detchd,1925.0,1,2.0,546.0,0,WD ,178000,4923
574,RL,Pave,0,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,928.0,GasA,928,1629,2,3,6,3,Attchd,1997.0,3,2.0,482.0,0,WD ,189900,4887
575,RM,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,6,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,PConc,4,848.0,GasA,848,848,1,4,4,0,Attchd,2003.0,3,2.0,420.0,0,WD ,144000,3392
576,RM,Pave,0,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1Story,6,1930,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,BrkTil,3,816.0,GasA,816,816,1,3,5,0,Detchd,2002.0,1,1.0,432.0,0,WD ,120500,3264
577,RL,Pave,0,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,1097.0,GasA,1097,1097,1,3,6,0,Attchd,1995.0,1,2.0,672.0,0,WD ,145000,3291
578,RL,Pave,0,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,4,1494.0,GasA,1652,1652,2,5,6,0,Attchd,2000.0,2,2.0,499.0,0,WD ,251000,6608
579,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,1768.0,GasA,1768,1768,2,3,8,0,0,1980.0,0,0.0,0.0,0,WD ,136500,5304
580,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,WdShing,Wd Shng,BrkCmn,58.0,3,Slab,0,0.0,GasA,1152,1152,2,3,6,0,0,1980.0,0,0.0,0.0,0,WD ,82500,3456
581,I (all),Grvl,0,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1Story,2,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,CBlock,0,0.0,GasA,810,810,1,3,4,0,Detchd,1975.0,1,1.0,280.0,0,ConLD,57625,1620
582,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,7,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,176.0,4,PConc,4,1350.0,GasA,1358,1358,2,4,6,4,Attchd,2008.0,2,2.0,484.0,0,WD ,212500,5432
583,RM,Pave,0,Lvl,FR2,Mitchel,Norm,Norm,Twnhs,1Story,6,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,116.0,3,PConc,5,1216.0,GasA,1216,1216,2,3,5,0,Attchd,1998.0,1,2.0,402.0,0,WD ,164000,3648
584,RM,Pave,0,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,BrkFace,327.0,3,CBlock,3,967.0,GasA,967,1638,2,4,6,0,Detchd,1957.0,1,1.0,384.0,0,WD ,139000,4914
585,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,7,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,212.0,4,PConc,4,600.0,GasA,624,1252,2,4,4,0,Detchd,1999.0,1,2.0,462.0,0,WD ,160000,5008
586,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,SFoyer,5,1992,1993,Gable,CompShg,HdBoard,Wd Shng,None,0.0,3,PConc,4,828.0,GasA,883,883,1,3,5,2,Detchd,1998.0,1,2.0,698.0,0,WD ,149000,2649
587,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,864.0,GasA,874,874,1,3,5,0,Attchd,1968.0,2,1.0,288.0,Shed,WD ,130000,2622
588,RM,Pave,0,Bnk,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,BrkTil,3,576.0,GasA,902,1710,2,3,9,0,Detchd,1990.0,1,2.0,480.0,0,WD ,140000,5130
589,FV,Pave,0,Lvl,Corner,Somerst,Norm,Norm,1Fam,1Story,8,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,288.0,4,PConc,4,1836.0,GasA,1836,1836,2,4,8,4,Attchd,2009.0,3,2.0,517.0,0,New,264500,7344
590,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1092.0,GasA,1092,1092,1,3,6,3,Attchd,1957.0,3,1.0,299.0,0,WD ,141000,3276
591,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,7,2006,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,4,PConc,4,1241.0,GasA,1241,1241,1,4,4,0,Attchd,2007.0,3,2.0,569.0,0,New,199900,4964
